Column Name,Data Type,Description
id,bigint,"An identifier for a row in the Kingfisher Process ``release``, ``record`` or ``compiled_release`` table"
contract_index,bigint,Position of the contract in the ``contracts`` array
transaction_index,bigint,Position of the transaction in the ``transactions`` array
release_type,text,"Either ""release"", ""record"", ""compiled_release"" or ""embedded_release"". If ""release"", the data was read from the ``release`` table. If ""record"", the data was read from a record's ``compiledRelease`` field in the ``record`` table. If ""compiled_release"", the data was read from the ``compiled_release`` table. If ""embedded_releases"", the data was read from a record's ``releases`` array in the ``record`` table."
collection_id,integer,``id`` from the Kingfisher Process ``collection`` table
ocid,text,Value of the ``ocid`` field in the release object
release_id,text,"Value of the ``id`` field in the release object (``NULL`` if the ``release_type`` is ""record"" or ""compiled_release"")"
data_id,integer,``id`` of the row in the Kingfisher Process ``data`` table
value_amount,numeric,"Value of the ``value/amount`` field, or the deprecated ``amount/amount`` field, in the transaction object"
value_currency,text,"Value of the ``value/currency`` field, or the deprecated ``amount/currency`` field, in the transaction object"
transaction,jsonb,The transaction object
