Column Name,Data Type,Description
id,bigint,"An identifier for a row in the Kingfisher Process ``release``, ``compiled_release`` or ``record`` table"
award_index,bigint,Position of the award in the ``awards`` array
release_type,text,"Either ""release"", ""compiled_release"", ""record"" or ""embedded_release"". If ""release"", the data was read from the ``release`` table. If ""compiled_release"", the data was read from the ``compiled_release`` table. If ""record"", the data was read from a record's ``compiledRelease`` field in the ``record`` table. If ""embedded_releases"", the data was read from a record's ``releases`` array in the ``record`` table."
collection_id,integer,``id`` from the Kingfisher Process ``collection`` table
ocid,text,Value of the ``ocid`` field in the release object
release_id,text,"Value of the ``id`` field in the release object (``NULL`` if the ``release_type`` is ""compiled_release"" or ""record"")"
data_id,integer,``id`` from the Kingfisher Process ``data`` table
award_id,text,Value of the ``id`` field in the award object
title,text,Value of the ``title`` field in the award object
status,text,Value of the ``status`` field in the award object
description,text,Value of the ``description`` field in the award object
value_amount,numeric,Value of the ``value/amount`` field in the award object
value_currency,text,Value of the ``value/currency`` field in the award object
date,timestamp,Value of the ``date`` field in the award object
contractperiod_startdate,timestamp,Value of the ``contractPeriod/startDate`` field in the award object
contractperiod_enddate,timestamp,Value of the ``contractPeriod/endDate`` field in the award object
contractperiod_maxextentdate,timestamp,Value of the ``contractPeriod/maxExtentDate`` field in the award object
contractperiod_durationindays,numeric,Value of the ``contractPeriod/durationInDays`` field in the award object
total_suppliers,integer,Length of the ``suppliers`` array in the award object
total_documents,bigint,Length of the ``documents`` array in the award object
document_documenttype_counts,jsonb,JSONB object in which each key is a unique ``documentType`` value and each value is its number of occurrences in the ``documents`` array of the award object
total_items,bigint,Length of the ``items`` array in the award object
award,jsonb,The award object
field_list,jsonb,"All JSON paths in the award object as well as in the related contracts' contract object (prefixed by contracts/), expressed as a JSONB object in which keys are paths and values are numbers of occurrences. Paths exclude array indices. This column is only available if the --field-lists option is used."
